Date,GASL500P Index,FG95M1 Index
2/01/2017,65.75,69.461
3/01/2017,66.11,67.826
4/01/2017,65.08,69.632
5/01/2017,65.13,69.698
6/01/2017,65.81,69.456
9/01/2017,65.7,67.113
10/01/2017,64.72,67.056
11/01/2017,63.89,68.477
12/01/2017,65.06,69.655
13/01/2017,65.24,69.324
16/01/2017,64.88,69.833
17/01/2017,65.03,69.527
18/01/2017,64.98,67.836
19/01/2017,64.58,67.822
20/01/2017,64.54,69.333
23/01/2017,64.76,68.993
24/01/2017,64.87,69.386
25/01/2017,64.82,68.663
26/01/2017,64.9,69.851
27/01/2017,64.94,69.115
30/01/2017,64.94,68.588
31/01/2017,64.69,69.511
1/02/2017,64.83,71.391
2/02/2017,66.23,70.086
3/02/2017,66.55,70.66
6/02/2017,66.81,69.605
7/02/2017,66,68.703
8/02/2017,65.44,70.072
9/02/2017,66.36,70.894
10/02/2017,66.11,71.44
13/02/2017,66.61,70.383
14/02/2017,66.09,71.076
15/02/2017,66.05,70.723
16/02/2017,66.24,69.317
17/02/2017,66.21,69.096
20/02/2017,66.43,69.182
21/02/2017,66.43,68.39
22/02/2017,66.41,68.653
23/02/2017,66.49,69.296
24/02/2017,66.44,68.976
27/02/2017,66.47,68.631
28/02/2017,66.72,68.682
1/03/2017,67.04,66.948
2/03/2017,66.41,65.655
3/03/2017,65.38,66.222
6/03/2017,65.49,66.731
7/03/2017,66.17,66.852
8/03/2017,65.68,65.34
9/03/2017,64.11,64.154
10/03/2017,63.59,63.356
13/03/2017,62.9,63.06
14/03/2017,62.79,63.245
15/03/2017,62.95,63.04
16/03/2017,63.18,63.315
17/03/2017,62.83,63.286
20/03/2017,62.82,63.379
21/03/2017,63.01,62.776
22/03/2017,62.56,62.885
23/03/2017,62.49,62.507
24/03/2017,62.44,62.951
27/03/2017,62.45,63.283
28/03/2017,62.59,64.207
29/03/2017,62.72,65.476
30/03/2017,62.75,65.956
31/03/2017,62.49,66.509
3/04/2017,63.12,66.559
4/04/2017,62.52,67.787
5/04/2017,64.44,67.473
6/04/2017,64.27,68.218
7/04/2017,65.44,68.741
10/04/2017,65,69.348
11/04/2017,65.4,69.474
12/04/2017,65.92,69.17
13/04/2017,65.79,69.165
14/04/2017,65.79,69.3
17/04/2017,65.49,69.141
18/04/2017,65.31,69.011
19/04/2017,65.32,66.598
20/04/2017,64.76,66.851
21/04/2017,64.71,65.984
24/04/2017,64.71,65.434
25/04/2017,64.5,65.324
26/04/2017,64.51,64.338
27/04/2017,64.45,63.402
28/04/2017,61.73,63.324
1/05/2017,61.73,63.096
2/05/2017,60.7,62.199
3/05/2017,59.73,61.707
4/05/2017,58.99,59.144
5/05/2017,57.71,60.869
8/05/2017,58.65,61.369
9/05/2017,59.07,60.795
10/05/2017,59.07,62.425
11/05/2017,60.18,63.169
12/05/2017,59.93,63.374
15/05/2017,60.14,63.992
16/05/2017,60.42,63.411
17/05/2017,60.18,63.924
18/05/2017,60.27,64.41
19/05/2017,61.05,65.75
22/05/2017,61.38,66.169
23/05/2017,61.24,66.374
24/05/2017,61.48,65.71
25/05/2017,61.49,63.461
26/05/2017,61.02,64.765
29/05/2017,61.03,64.64
30/05/2017,61.01,64.552
31/05/2017,60.4,63.612
1/06/2017,60.16,62.12
2/06/2017,58.13,62.121
5/06/2017,58.7,61.509
6/06/2017,57.87,62.142
7/06/2017,57.89,60.022
8/06/2017,57.06,59.963
9/06/2017,56.91,60.684
12/06/2017,57.89,59.657
13/06/2017,58.04,59.421
14/06/2017,58.04,57.626
15/06/2017,57.51,57.472
16/06/2017,57.77,58.109
19/06/2017,57.73,57.846
20/06/2017,57.69,56.888
21/06/2017,57.29,55.842
22/06/2017,56.98,56.774
23/06/2017,57.14,57.248
26/06/2017,57.14,57.346
27/06/2017,57.29,57.654
28/06/2017,57.39,58.733
29/06/2017,57.55,58.937
30/06/2017,58.69,60.184
3/07/2017,59.82,60.891
4/07/2017,60.77,60.946
5/07/2017,61.18,59.738
6/07/2017,60.33,59.547
7/07/2017,58.46,58.867
10/07/2017,58.71,59.302
11/07/2017,58.86,60.526
12/07/2017,59.99,59.869
13/07/2017,59.16,60.235
14/07/2017,59.85,60.978
17/07/2017,60.2,60.669
18/07/2017,59.9,61.051
19/07/2017,59.99,62.524
20/07/2017,60.68,62.622
21/07/2017,60.65,61.16
24/07/2017,60.19,61.549
25/07/2017,60.34,63.178
26/07/2017,60.72,63.197
27/07/2017,60.85,64.422
28/07/2017,60.87,65.247
31/07/2017,65.41,66.094
1/08/2017,65.47,64.165
2/08/2017,64.05,64.931
3/08/2017,64.55,64.407
4/08/2017,63.16,65.264
7/08/2017,63.16,65.427
8/08/2017,63.69,64.69
9/08/2017,63.69,65.203
10/08/2017,64.28,64.56
11/08/2017,63.23,65.449
14/08/2017,63.73,64.067
15/08/2017,63,64.57
16/08/2017,63.11,64.415
17/08/2017,62.36,64.905
18/08/2017,62.65,67.227
21/08/2017,63.17,65.355
22/08/2017,62.88,65.347
23/08/2017,62.85,66.03
